stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5621,0.5928,0.8390
stage1,2,0.5182,0.5466,0.8547
stage1,3,0.5091,0.4634,0.8585
stage1,4,0.5036,0.6053,0.8607
stage1,5,0.5064,0.5759,0.8567
stage2,6,0.4686,0.4251,0.8889
stage2,7,0.3975,0.3884,0.8925
stage2,8,0.3421,0.3253,0.9092
stage2,9,0.3000,0.3714,0.8989
stage2,10,0.2753,0.3476,0.9060
stage2,11,0.2642,0.4069,0.9087
stage2,12,0.2405,0.3474,0.9000
stage2,13,0.2113,0.2910,0.9115
stage2,14,0.2075,0.3403,0.9044
stage2,15,0.1871,0.3188,0.8995
