stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5563,0.5084,0.8424
stage1,2,0.5045,0.5696,0.8616
stage1,3,0.4973,0.4484,0.8569
stage1,4,0.5040,0.4355,0.8626
stage1,5,0.5005,0.6473,0.8602
stage2,6,0.4647,0.4330,0.8829
stage2,7,0.4310,0.4277,0.9081
stage2,8,0.3625,0.4090,0.9026
stage2,9,0.3198,0.4141,0.9205
stage2,10,0.2876,0.3560,0.9195
stage2,11,0.2502,0.3179,0.9252
stage2,12,0.2372,0.2946,0.9177
stage2,13,0.2104,0.3141,0.9220
stage2,14,0.1992,0.3393,0.9233
stage2,15,0.1926,0.3355,0.9232
