stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5515,0.5927,0.8133
stage1,2,0.5117,0.6056,0.8359
stage1,3,0.5127,0.6269,0.8281
stage1,4,0.5013,0.5582,0.8301
stage1,5,0.5114,0.6497,0.8331
stage2,6,0.4795,0.4942,0.8628
stage2,7,0.4128,0.4924,0.8885
stage2,8,0.3740,0.4300,0.8938
stage2,9,0.3211,0.4033,0.9018
stage2,10,0.2976,0.3820,0.8929
stage2,11,0.2714,0.3516,0.9013
stage2,12,0.2416,0.3371,0.9039
stage2,13,0.2165,0.3227,0.9032
stage2,14,0.1962,0.3027,0.9078
stage2,15,0.1876,0.3129,0.9088
