stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5533,0.5399,0.8327
stage1,2,0.5129,0.4389,0.8397
stage1,3,0.5085,0.5074,0.8414
stage1,4,0.4997,0.5339,0.8538
stage1,5,0.5004,0.4667,0.8420
stage2,6,0.4782,0.4973,0.8895
stage2,7,0.4031,0.4081,0.9026
stage2,8,0.3466,0.4127,0.9066
stage2,9,0.3179,0.3945,0.9044
stage2,10,0.2981,0.3772,0.9032
stage2,11,0.2606,0.3749,0.9056
stage2,12,0.2416,0.4232,0.9099
stage2,13,0.2099,0.3497,0.8961
stage2,14,0.2075,0.3921,0.9153
stage2,15,0.1849,0.3950,0.9106
