stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5560,0.5540,0.8461
stage1,2,0.5117,0.5963,0.8544
stage1,3,0.5050,0.5378,0.8522
stage1,4,0.5009,0.5138,0.8540
stage1,5,0.4964,0.4840,0.8526
stage2,6,0.4730,0.4597,0.8732
stage2,7,0.4437,0.4524,0.8927
stage2,8,0.3828,0.4482,0.8991
stage2,9,0.3398,0.3851,0.9003
stage2,10,0.3196,0.3787,0.8991
stage2,11,0.2725,0.4597,0.8887
stage2,12,0.2538,0.3368,0.9028
stage2,13,0.2350,0.3362,0.9117
stage2,14,0.2066,0.3570,0.9224
stage2,15,0.1795,0.3919,0.9120
stage2,16,0.1895,0.3754,0.9186
stage2,17,0.1642,0.3302,0.9148
stage2,18,0.1378,0.3038,0.9156
stage2,19,0.1396,0.2961,0.9197
stage2,20,0.1263,0.3019,0.9162
stage2,21,0.1238,0.3036,0.9206
stage2,22,0.1248,0.2924,0.9251
stage2,23,0.1075,0.2832,0.9246
