stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5665,0.7561,0.8470
stage1,2,0.5140,0.4387,0.8447
stage1,3,0.5009,0.4605,0.8527
stage1,4,0.5029,0.4258,0.8519
stage1,5,0.5071,0.4995,0.8544
stage2,6,0.4714,0.4209,0.8916
stage2,7,0.3974,0.3316,0.9031
stage2,8,0.3489,0.4166,0.8997
stage2,9,0.2988,0.4240,0.9233
stage2,10,0.2818,0.3618,0.9039
stage2,11,0.2570,0.3581,0.9107
stage2,12,0.2514,0.3773,0.9009
stage2,13,0.2047,0.2921,0.9225
stage2,14,0.1869,0.3244,0.8895
stage2,15,0.1837,0.3037,0.8885
