stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5568,0.5077,0.8327
stage1,2,0.5120,0.5055,0.8441
stage1,3,0.5049,0.5865,0.8577
stage1,4,0.4978,0.4710,0.8541
stage1,5,0.4913,0.6004,0.8474
stage2,6,0.4708,0.5152,0.8814
stage2,7,0.4059,0.4908,0.9009
stage2,8,0.3547,0.4700,0.8889
stage2,9,0.3209,0.3969,0.9017
stage2,10,0.2893,0.4428,0.9117
stage2,11,0.2759,0.4665,0.9093
stage2,12,0.2395,0.4042,0.9078
stage2,13,0.2449,0.4294,0.8942
stage2,14,0.2160,0.4226,0.9027
stage2,15,0.2010,0.3471,0.9036
