stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5811,0.8629,0.8057
stage1,2,0.5473,0.6320,0.8166
stage1,3,0.5341,0.5001,0.8196
stage1,4,0.5242,0.6754,0.8221
stage1,5,0.5181,0.6336,0.8296
stage2,6,0.4921,0.5385,0.8606
stage2,7,0.4119,0.4240,0.8740
stage2,8,0.3706,0.3631,0.8794
stage2,9,0.3350,0.5236,0.8863
stage2,10,0.3071,0.3241,0.8934
stage2,11,0.2767,0.4028,0.9006
stage2,12,0.2440,0.3862,0.8927
stage2,13,0.2167,0.3246,0.8925
stage2,14,0.2077,0.3569,0.9027
stage2,15,0.1938,0.3444,0.9047
