stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5509,0.6110,0.8016
stage1,2,0.5067,0.5743,0.8133
stage1,3,0.4962,0.5332,0.8160
stage1,4,0.5019,0.5885,0.8106
stage1,5,0.4973,0.6236,0.8162
stage2,6,0.4600,0.5322,0.8596
stage2,7,0.4021,0.3782,0.8898
stage2,8,0.3468,0.3339,0.8810
stage2,9,0.3097,0.4263,0.9064
stage2,10,0.2841,0.3519,0.9123
stage2,11,0.2487,0.3758,0.9050
stage2,12,0.2340,0.3068,0.8915
stage2,13,0.2136,0.2931,0.8926
stage2,14,0.1933,0.3183,0.8982
stage2,15,0.1725,0.2996,0.8874
