stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5653,0.5787,0.8117
stage1,2,0.5111,0.5496,0.8162
stage1,3,0.4987,0.7013,0.8116
stage1,4,0.5016,0.5404,0.8026
stage1,5,0.4837,0.5340,0.8089
stage2,6,0.4602,0.5029,0.8508
stage2,7,0.3842,0.4557,0.8794
stage2,8,0.3343,0.3899,0.8845
stage2,9,0.3199,0.3680,0.8802
stage2,10,0.2604,0.3412,0.8908
stage2,11,0.2456,0.3134,0.8851
stage2,12,0.2246,0.3956,0.8898
stage2,13,0.2065,0.3809,0.8928
stage2,14,0.1987,0.3521,0.8988
stage2,15,0.1621,0.3184,0.8874
