stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5799,0.7463,0.7703
stage1,2,0.5092,0.7620,0.7884
stage1,3,0.4850,0.7140,0.7934
stage1,4,0.4572,0.6772,0.7895
stage1,5,0.4602,0.6510,0.7929
stage2,6,0.4538,0.6287,0.8282
stage2,7,0.3482,0.5666,0.8320
stage2,8,0.3279,0.5365,0.8363
stage2,9,0.2931,0.5307,0.8400
stage2,10,0.2524,0.5895,0.8452
stage2,11,0.2115,0.5021,0.8427
stage2,12,0.1885,0.4923,0.8492
stage2,13,0.1838,0.4772,0.8493
stage2,14,0.1600,0.4881,0.8169
stage2,15,0.1587,0.5131,0.8447
