stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5814,0.4862,0.8170
stage1,2,0.5387,0.4362,0.8329
stage1,3,0.5242,0.4430,0.8288
stage1,4,0.5087,0.5048,0.8288
stage1,5,0.5186,0.4492,0.8223
stage2,6,0.4990,0.3740,0.8377
stage2,7,0.4764,0.3827,0.8515
stage2,8,0.4422,0.3907,0.8603
stage2,9,0.4099,0.3566,0.8553
stage2,10,0.4099,0.3601,0.8677
stage2,11,0.3932,0.3571,0.8712
stage2,12,0.3686,0.3700,0.8654
stage2,13,0.3680,0.3446,0.8722
stage2,14,0.3750,0.4414,0.8734
stage2,15,0.3553,0.3894,0.8766
