stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5488,0.3608,0.8285
stage1,2,0.4967,0.4280,0.8353
stage1,3,0.4992,0.4159,0.8419
stage1,4,0.4853,0.4045,0.8375
stage1,5,0.4816,0.3822,0.8343
stage2,6,0.4934,0.4458,0.8468
stage2,7,0.4425,0.3526,0.8577
stage2,8,0.4335,0.3680,0.8627
stage2,9,0.4076,0.3383,0.8716
stage2,10,0.3946,0.3916,0.8785
stage2,11,0.3866,0.3659,0.8716
stage2,12,0.3719,0.3543,0.8835
stage2,13,0.3641,0.3471,0.8850
stage2,14,0.3509,0.3147,0.8760
stage2,15,0.3257,0.3400,0.8785
