stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5456,0.4516,0.8152
stage1,2,0.4994,0.3431,0.8268
stage1,3,0.4929,0.5405,0.8319
stage1,4,0.5016,0.5122,0.8342
stage1,5,0.4842,0.3936,0.8353
stage2,6,0.4725,0.3667,0.8811
stage2,7,0.4152,0.3612,0.8794
stage2,8,0.3804,0.3666,0.9004
stage2,9,0.3564,0.2940,0.9127
stage2,10,0.3488,0.3624,0.9140
stage2,11,0.3155,0.3521,0.9105
stage2,12,0.2999,0.3838,0.9154
stage2,13,0.2840,0.3499,0.9193
stage2,14,0.2616,0.3395,0.9103
stage2,15,0.2464,0.3554,0.9004
