stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5440,0.4179,0.8188
stage1,2,0.5017,0.4467,0.8271
stage1,3,0.4890,0.4010,0.8314
stage1,4,0.4978,0.4143,0.8353
stage1,5,0.4903,0.3584,0.8375
stage2,6,0.4587,0.4274,0.8784
stage2,7,0.4192,0.3352,0.8821
stage2,8,0.3845,0.3933,0.8830
stage2,9,0.3654,0.3716,0.8861
stage2,10,0.3387,0.3226,0.9007
stage2,11,0.2996,0.3930,0.8996
stage2,12,0.2928,0.3516,0.9107
stage2,13,0.2746,0.4535,0.9036
stage2,14,0.2650,0.3322,0.9005
stage2,15,0.2397,0.3518,0.9123
