stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5515,0.3886,0.8177
stage1,2,0.5187,0.3628,0.8319
stage1,3,0.5088,0.3351,0.8268
stage1,4,0.5022,0.4914,0.8327
stage1,5,0.5024,0.4879,0.8348
stage2,6,0.4853,0.4367,0.8518
stage2,7,0.4633,0.4079,0.8521
stage2,8,0.4472,0.3637,0.8656
stage2,9,0.4370,0.3378,0.8715
stage2,10,0.4232,0.4869,0.8698
stage2,11,0.3980,0.3638,0.8705
stage2,12,0.3933,0.3432,0.8604
stage2,13,0.3938,0.3992,0.8783
stage2,14,0.3827,0.3205,0.8811
stage2,15,0.3660,0.3247,0.8866
stage1,1,0.5610,0.4241,0.8181
stage1,2,0.5090,0.4697,0.8219
stage1,3,0.5013,0.3896,0.8308
stage1,4,0.4947,0.3738,0.8376
stage1,5,0.4989,0.5297,0.8372
stage2,6,0.4831,0.3658,0.8541
stage2,7,0.4606,0.3825,0.8570
stage2,8,0.4494,0.3943,0.8639
stage2,9,0.4247,0.3795,0.8674
stage2,10,0.4148,0.3688,0.8771
stage2,11,0.4271,0.3449,0.8676
stage2,12,0.3987,0.3584,0.8801
stage2,13,0.3946,0.3256,0.8776
stage2,14,0.3814,0.3702,0.8784
stage2,15,0.3638,0.3711,0.8769
