stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.7517,0.8799,0.5986
stage1,2,0.7381,0.8756,0.7151
stage1,3,0.7289,0.8759,0.7658
stage1,4,0.7226,0.8756,0.7944
stage1,5,0.7251,0.8739,0.8124
stage2,6,0.7226,0.8726,0.8260
stage2,7,0.7085,0.8725,0.8374
stage2,8,0.7052,0.8734,0.8516
stage2,9,0.6939,0.8725,0.8645
stage2,10,0.6823,0.8738,0.8756
stage2,11,0.6722,0.8760,0.8847
stage2,12,0.6576,0.8781,0.8915
stage2,13,0.6538,0.8725,0.8975
stage2,14,0.6375,0.8712,0.9023
stage2,15,0.6329,0.8694,0.9056
stage2,16,0.6269,0.8702,0.9082
stage2,17,0.6207,0.8679,0.9094
stage2,18,0.6248,0.8673,0.9102
stage2,19,0.6168,0.8650,0.9104
stage2,20,0.6137,0.8628,0.9114
stage2,21,0.6092,0.8610,0.9119
stage2,22,0.6067,0.8606,0.9119
stage2,23,0.6049,0.8601,0.9118
