stage,global_epoch,train_loss,val_loss,val_auc
stage1,1,0.5792,0.5958,0.6065
stage1,2,0.5565,0.5409,0.7050
stage1,3,0.5445,0.4986,0.7598
stage1,4,0.5385,0.4564,0.7906
stage1,5,0.5420,0.4384,0.8073
stage2,6,0.5182,0.4281,0.8188
stage2,7,0.4975,0.4177,0.8326
stage2,8,0.4880,0.4172,0.8462
stage2,9,0.4665,0.4113,0.8588
stage2,10,0.4507,0.4110,0.8697
stage2,11,0.4359,0.4129,0.8760
stage2,12,0.4068,0.4082,0.8823
stage2,13,0.3922,0.4032,0.8886
stage2,14,0.3893,0.3950,0.8924
stage2,15,0.3844,0.3869,0.8941
stage2,16,0.3577,0.3787,0.8967
stage2,17,0.3557,0.3765,0.8977
stage2,18,0.3346,0.3735,0.8987
stage2,19,0.3430,0.3703,0.8988
stage2,20,0.3216,0.3648,0.8997
stage2,21,0.3134,0.3583,0.9006
stage2,22,0.3260,0.3545,0.9015
stage2,23,0.3062,0.3513,0.9019
